HG ID,Gene Name,Gene Description,RefSeq,"""0hrs_replicate1""","""0hrs_replicate2""","""0hrs_replicate3""","""2hrs_replicate1""","""2hrs_replicate2""","""2hrs_replicate3""","""72hrs_replicate1""","""72hrs_replicate2""","""72hrs_replicate3""","""336hrs_replicate1""","""336hrs_replicate2""","""336hrs_replicate3""
"
8131.0,Fbxw2,F-box and WD-40 domain protein 2,NC_000068.8,1046.8,790.7,643.8,892.6,953.3,1067.1,950.3,813.5,655.8,750.3,743.9,"707.4
"
41672.0,Nsmce1,"NSE1 homolog, SMC5-SMC6 complex component",NC_000073.7,314.8,443.4,531.4,267.9,341.9,264.2,620.8,405.5,415.4,366,504.9,"317.4
"
80.0,Cyba,"cytochrome b-245, alpha polypeptide",NC_000074.7,1513.5,1478.1,1451.8,1717.4,927.2,1095.3,3061.8,4046.8,4801.6,2385.5,2451.7,"2226.8
"
1791.0,Mcm3,minichromosome maintenance complex component 3,NC_000067.7,24.3,134,159.2,112,231.7,191.2,321.6,259.9,191.2,376.5,249.1,"169.1
"
136.0,Gja1,"gap junction protein, alpha 1",NC_000076.7,3207.7,4984.9,3097,5107.4,4567.7,6222.5,5102.8,4128.8,5993.9,6350.3,6300.8,"6607.3
"
637.0,Gart,phosphoribosylglycinamide formyltransferase,NC_000082.7,653.5,665.2,561.5,634.1,628.3,687.3,547.8,449.6,445.9,671.3,527.3,"519.2
"
110441.0,Aldh1a1,"aldehyde dehydrogenase family 1, subfamily A1",NC_000085.7,2591.1,1747.6,1619.6,1989.7,2850.7,2576.4,1750.7,1277.4,723.4,532.3,941,"1433.3
"
73898.0,Cyp2f2,"cytochrome P450, family 2, subfamily f, polypeptide 2",NC_000073.7,698.9,561,573.4,985.5,1042.7,617.6,865.9,992.2,432.9,694.9,991.1,"1100.1
"
55850.0,Ciao1,cytosolic iron-sulfur protein assembly 1,NC_000068.8,746.5,831.2,553.1,579.5,513.7,791.5,472.8,564.2,481.4,550.4,622.5,"528.9
"
5952.0,Eef1akmt1,EEF1A alpha lysine methyltransferase 1,NC_000080.7,250.5,387.8,437,323.4,207.2,261.1,297.4,273.2,170.9,272.9,301.6,"291.7
"
68707.0,Tmed9,transmembrane p24 trafficking protein 9,NC_000079.7,674.1,754.6,952.6,1114.6,578.3,1157.3,374.1,1198.1,1544.6,1973.9,1495.7,"1357.8
"
3669.0,Ndufb9,NADH:ubiquinone oxidoreductase subunit B9,NC_000081.7,4414.9,2004.6,2117.3,3167.4,3073.8,3362.7,2219.6,2158.6,1408.5,1578.2,1895.7,"2341.5
"
4965.0,Stip1,stress-induced phosphoprotein 1,NC_000085.7,431.7,492.1,359.4,672.7,622,321.9,422.3,445.9,427.9,454.5,746.7,"607
"
55740.0,Ezr,ezrin,NC_000083.7,833.9,913.8,690.8,1498.2,1160.2,1382.6,863,776.9,937.7,1197.4,904.3,"1248
"
37612.0,Lrpap1,low density lipoprotein receptor-related protein associated protein 1,NC_000071.7,910.2,821.3,704.1,703,887.5,923,882.5,847.5,759.2,756.3,569.6,"786.5
"
37659.0,Ppp1cb,protein phosphatase 1 catalytic subunit beta,NC_000071.7,999.6,973.8,550.9,1161.8,1481.3,1134.8,953.8,607,840.1,893.6,848.3,"986.8
"
727.0,Ppic,peptidylprolyl isomerase C,NC_000084.7,528.3,1043.2,943.3,912.5,968.9,717.6,921.5,943.4,1250.2,1737.7,1207.1,"831.9
"
4252.0,Slc35b1,"solute carrier family 35, member B1",NC_000077.7,1578.2,1640,1363.4,1685.4,1667.6,1434.4,1611.2,1425.4,1721.4,2276.2,1826.4,"1469.6
"
7878.0,Cdk16,cyclin-dependent kinase 16,NC_000086.8,1224.6,1200.1,1131.7,1249.6,827.6,1149.1,984.3,1395.7,1375.1,1371.6,1308,"1455.9
"
2384.0,Supt5,"suppressor of Ty 5, DSIF elongation factor subunit",NC_000073.7,1018,1014.1,811.7,1290.4,999.4,905.9,1176.1,1002.6,1037.8,1172,1241.1,"1372.9
"
21132.0,Scarb1,"scavenger receptor class B, member 1",NC_000071.7,1868.1,1003.6,1736.8,887.2,900.5,990.6,1203.6,1551,1559,1483,1337.6,"1226.7
"
457.0,Smpd1,"sphingomyelin phosphodiesterase 1, acid lysosomal",NC_000073.7,2831.1,2145.9,2305.9,2320.4,1875.8,2072.9,2785.6,2617.7,2138.1,2540.2,2561.7,"3163.7
"
133768.0,Serpinb1a,"serine (or cysteine) peptidase inhibitor, clade B, member 1a",NC_000079.7,33.7,121.8,72,153.2,65.6,86.2,18,67.9,148.8,97.6,133.6,"45
"
133537.0,Snrpa,small nuclear ribonucleoprotein polypeptide A,NC_000073.7,1093.4,651.1,1057.1,918.9,723.1,721.8,772.8,998.7,919.8,1072.5,1079.9,"1031.2
"
133537.0,Gm21559,"predicted gene, 21559",NC_000078.7,1093.4,651.1,1057.1,918.9,723.1,721.8,772.8,998.7,919.8,1072.5,1079.9,"1031.2
"
134055.0,2210010C04Rik,RIKEN cDNA 2210010C04 gene,"['NC_000072.7', 'NG_006980.1']",26,61.7,73.8,102.1,98.3,51.1,94.1,85,46.7,41.1,93,"16.7
"
128606.0,Cxcl12,chemokine (C-X-C motif) ligand 12,NC_000072.7,647.2,417.5,727.1,456.9,627.1,508.5,511.5,565.9,576.8,445.3,426,"452
"
7799.0,Kifap3,kinesin-associated protein 3,NC_000067.7,222.6,283.4,353.8,264.8,197.9,264.1,266.7,231,164.1,262.4,219.9,"287.6
"
9803.0,Qrich1,glutamine-rich 1,NC_000075.7,613.5,855,604,899.1,648.4,687.3,846,706.9,926,951.6,937.7,"868.9
"
8829.0,Pclaf,PCNA clamp associated factor,NC_000075.7,17.3,60.2,169.4,162.1,224.4,103.1,164.7,222.8,307.1,500.2,575.2,"389.6
"
1878.0,Nid1,nidogen 1,NC_000079.7,288.2,147.9,270.9,230.4,313.7,180,141.4,172.4,215.5,307.7,209.1,"177.8
"
22999.0,Itgb1,integrin beta 1 (fibronectin receptor beta),NC_000074.7,5115.2,7585.9,4414.5,5334.2,5245.6,5930.1,5952.8,5559.3,7460.1,5728.7,5180.6,"4915.7
"
4513.0,Pa2g4,proliferation-associated 2G4,NC_000076.7,161.7,217.3,145.2,269.8,345,338.5,191.6,177.7,226.9,284.6,205.7,"273.5
"
41174.0,Chrac1,chromatin accessibility complex 1,NC_000081.7,917.1,1149.7,631.7,738.1,807.2,798.8,898.2,665.4,706.8,658.8,834.8,"587.3
"
1415.0,Crabp2,cellular retinoic acid binding protein II,NC_000069.7,275.3,624.5,518.5,421,424.4,454.7,748.3,659.5,978.2,1044.1,573.8,"729.4
"
68203.0,Cdk1,cyclin-dependent kinase 1,NC_000076.7,94,244.5,252.6,176.1,175.9,109.4,499.9,595.3,754.7,812.1,802.3,"698.1
"
1679.0,Jun,jun proto-oncogene,NC_000070.7,773.6,580.1,839.6,1128.1,2240.8,608.4,337.8,532.5,382.7,415.9,701.8,"553.2
"
48068.0,Fyn,Fyn proto-oncogene,NC_000076.7,148.1,355.5,254.6,342.5,449.2,420.9,398.1,294.2,384.8,343.9,300.6,"251.4
"
92.0,Eng,endoglin,NC_000068.8,3129.6,1958.1,2099.6,1854.4,1912.9,2035.1,2888.4,3346.8,3295.8,2261.3,2499.6,"1767.1
"
7809.0,Lamp2,lysosomal-associated membrane protein 2,NC_000086.8,454.7,499.8,421.7,599.2,538.3,543.8,916.4,766.1,747.5,727.6,702.6,"692.8
"
4614.0,Rbm14,RNA binding motif protein 14,NC_000085.7,179.5,390.2,210.8,249,262.5,475.7,279.1,367.7,295.3,386.1,421.6,"204.7
"
37562.0,Fau,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived),NC_000085.7,123.6,136.5,205.6,94.7,69.3,133.6,25.9,93.1,100.4,179.5,87.2,"89.3
"
31292.0,Dgcr2,DiGeorge syndrome critical region gene 2,NC_000082.7,563.9,641.4,513.4,782.8,537,593,767.3,614,582,525.6,599.3,"782.4
"
136488.0,Ncl,nucleolin,NC_000067.7,2103.6,2808.9,1714.6,4276.8,2760.2,4727.3,3240,3949.9,4114,3156.5,3812.3,"4228
"
4786.0,Ctcf,CCCTC-binding factor,NC_000074.7,236.1,388.4,94.6,317.5,300.1,250.6,247.2,275.9,187.4,268.9,342.6,"396.4
"
38230.0,Serinc3,serine incorporator 3,NC_000068.8,2245.4,2318.8,1625,2864.2,2753.3,3086.1,3424.4,2561.2,3507.9,2051,2097.1,"2514.9
"
40754.0,Ncam1,neural cell adhesion molecule 1,NC_000075.7,354.2,308,365.6,492.7,372.9,578.2,426.4,513.3,386.2,951.5,941.9,"698.6
"
2401.0,Tapbp,TAP binding protein,NC_000083.7,1611.6,1940.3,1860.7,3216.4,2041.7,2018,2463.1,2002.6,3107.3,1823.4,2127.5,"2334.5
"
68212.0,Ddr1,"discoidin domain receptor family, member 1",NC_000083.7,990.9,1274.9,999.9,1654.1,1157.7,1319.4,1035.7,1236.4,1067,1116.3,1544.5,"1665.1
"
4904.0,Mcm5,minichromosome maintenance complex component 5,NC_000074.7,413.2,466.2,253.5,617.2,684.7,607.2,1123.3,1378,1422.4,1632.1,1680.9,"1363.8
"
2097.0,Psmc3,"proteasome (prosome, macropain) 26S subunit, ATPase 3",NC_000068.8,370.4,259,369.9,297.4,278.7,237,264.3,247.7,188,311.4,197.9,"188.2
"
1653.0,Inhba,inhibin beta-A,NC_000079.7,131.2,149.7,127.6,176.5,127.7,104.2,212,157.9,420.5,190.3,254.9,"120.1
"
3889.0,H1f6,"H1.6 linker histone, cluster member",NC_000079.7,125.6,111.1,365.5,43.7,92.6,166.6,103.1,78.5,34,90.2,143.9,"59.5
"
20244.0,Htr7,5-hydroxytryptamine (serotonin) receptor 7,NC_000085.7,254.8,185.3,500.3,362.7,342.8,268.6,253.4,225.4,46.4,296.2,255.7,"243.6
"
3635.0,Efna3,ephrin A3,NC_000069.7,1537.7,1257.5,1244.5,1829.3,1416.9,1475,1619.4,2209.5,1840.8,2113.1,2598.4,"2806.9
"
56386.0,Cd59b,CD59b antigen,NC_000068.8,249.2,226.7,404.5,169.7,213.1,233,223.7,141.3,120.2,180.4,178.4,"180.7
"
11857.0,Wdr26,WD repeat domain 26,NC_000067.7,279.9,20.9,186.6,140.5,408.2,412.5,123,360.5,440,378.6,504.6,"338.5
"
7825.0,Maff,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)",NC_000081.7,26.8,21.6,172.1,58.8,114.1,70.8,76.6,55,239.1,122.8,107.2,"86.7
"
117973.0,H2-M10.1,"histocompatibility 2, M region locus 10.1",NC_000083.7,391.4,266,295.1,246.4,292.7,160.3,298.4,270,306.9,314.9,344.3,"243.4
"
17546.0,Arl14ep,ADP-ribosylation factor-like 14 effector protein,NC_000068.8,173,92.7,85.7,80.7,92.2,75.8,31,60.1,97.1,90,169.5,"70.1
"
1872.0,Nfix,nuclear factor I/X,NC_000074.7,119.9,59.6,82.5,107.4,49.4,107.6,227.3,594.3,639.8,141.8,661.4,"759
"
22423.0,Col8a1,"collagen, type VIII, alpha 1",NC_000082.7,260.8,155,265,222.2,274,214.9,195.5,411.9,415.2,716.4,620,"303.3
"
40596.0,Ear1,"eosinophil-associated, ribonuclease A family, member 1",NC_000080.7,140.6,138.7,101.5,527.8,103.8,194.7,232.4,113.1,24.4,178.8,257.5,"239.6
"
70141.0,Dnajb13,DnaJ heat shock protein family (Hsp40) member B13,NC_000073.7,361.9,294.2,371.2,396.9,515.7,242.6,145,228.5,329.7,560,271.3,"224.7
"
1235.0,Amd2,S-adenosylmethionine decarboxylase 2,"['NC_000076.7', 'NG_007145.1']",301.7,243.3,104.1,292,435.2,387.2,248,377.4,433.5,500.6,419.9,"320
"
1235.0,Amd1,S-adenosylmethionine decarboxylase 1,NC_000076.7,301.7,243.3,104.1,292,435.2,387.2,248,377.4,433.5,500.6,419.9,"320
"
86756.0,Lilr4b,"leukocyte immunoglobulin-like receptor, subfamily B, member 4B",NC_000076.7,334.3,469,464.5,839.2,668.7,643.3,1203.9,1914.8,3402.1,916.5,622.7,"490
"
134028.0,Lilra6,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6",NC_000073.7,394.8,140.8,210.4,534,430.8,282.6,835.3,1381.5,2371.2,564.3,533.6,"656.9
"
134028.0,Pira2,paired-Ig-like receptor A2,NC_000073.7,394.8,140.8,210.4,534,430.8,282.6,835.3,1381.5,2371.2,564.3,533.6,"656.9
"
134028.0,Pirb,paired Ig-like receptor B,NC_000073.7,394.8,140.8,210.4,534,430.8,282.6,835.3,1381.5,2371.2,564.3,533.6,"656.9
"
134028.0,Pira6,paired-Ig-like receptor A6,NG_019130.1,394.8,140.8,210.4,534,430.8,282.6,835.3,1381.5,2371.2,564.3,533.6,"656.9
"
134028.0,Pira1,paired-Ig-like receptor A1,NC_000073.7,394.8,140.8,210.4,534,430.8,282.6,835.3,1381.5,2371.2,564.3,533.6,"656.9
"
134028.0,Gm15448,predicted gene 15448,NC_000073.7,394.8,140.8,210.4,534,430.8,282.6,835.3,1381.5,2371.2,564.3,533.6,"656.9
"
21182.0,Prdx2,peroxiredoxin 2,NC_000074.7,3390.7,4336.6,3063.5,3745,3821.2,3458.2,3361,3411.1,3295,4607.5,4412.4,"4872.3
"
3606.0,Prdx6,peroxiredoxin 6,NC_000067.7,559.1,571.9,401.1,592.7,530.7,564.6,929.7,1021.2,1194.5,808.2,654.7,"663.9
"
71226.0,Prdx6b,peroxiredoxin 6B,NC_000068.8,559.1,571.9,401.1,592.7,530.7,564.6,929.7,1021.2,1194.5,808.2,654.7,"663.9
"
128033.0,Saa2,serum amyloid A 2,NC_000073.7,25.4,94.6,368.4,135.9,168.8,213.2,74.9,181.6,107.1,68.6,82.6,"150.4
"
104130.0,Bglap2,bone gamma-carboxyglutamate protein 2,NC_000069.7,194.4,282.5,293.6,174.7,145.4,230.4,260.9,296,247.9,407,277.8,"415.5
"
104130.0,Bglap3,bone gamma-carboxyglutamate protein 3,NC_000069.7,194.4,282.5,293.6,174.7,145.4,230.4,260.9,296,247.9,407,277.8,"415.5
"
104130.0,Bglap,bone gamma carboxyglutamate protein,NC_000069.7,194.4,282.5,293.6,174.7,145.4,230.4,260.9,296,247.9,407,277.8,"415.5
"
68498.0,Tuba1a,"tubulin, alpha 1A",NC_000081.7,7908.6,7359.1,5033.1,5122.1,4003.2,5008.7,4563.6,6076.3,5310.6,6227.8,5901.8,"5157.1
"
41713.0,Cryzl2,crystallin zeta like 2,NC_000067.7,884.6,825.1,968.3,512.3,921.1,813.9,1102.7,989.2,867.3,1092.1,941.1,"856.7
"
37846.0,Vamp8,vesicle-associated membrane protein 8,NC_000072.7,4070.9,5656.3,5959,3608.5,3450.2,4907.3,4005.8,4497.7,3569.7,3618,3066.3,"4015.1
"
1624.0,Hspa4,heat shock protein 4,NC_000077.7,89.5,75.2,464.2,170,136,64.6,211.9,108.9,78.5,58.2,90.1,"88.5
"
7967.0,Tbx15,T-box 15,NC_000069.7,7.7,13.1,44.1,62.3,67.8,9.9,29.7,52,26.2,69.3,126.6,"73.1
"
8809.0,Gprasp1,G protein-coupled receptor associated sorting protein 1,NC_000086.8,248.7,373.9,295.6,356.4,297.8,209.9,489.2,209.2,400.1,294.7,361.2,"227.9
"
31024.0,Casp9,caspase 9,NC_000070.7,217.1,216.6,640.5,327.6,166.5,239.4,211.2,212.3,227.8,291.7,342.4,"275.4
"
134628.0,Hnrnpa1,heterogeneous nuclear ribonucleoprotein A1,NC_000081.7,86.9,16.1,114.5,97.7,38.9,132.1,68.4,67.4,75.7,108.5,137.1,"108.8
"
134075.0,Hnrnpa1l2-ps2,"heterogeneous nuclear ribonucleoprotein A1-like 2, pseudogene 2","['NC_000081.7', 'NG_005916.3']",86.9,16.1,114.5,97.7,38.9,132.1,68.4,67.4,75.7,108.5,137.1,"108.8
"
134475.0,H3f3c,"H3 histone, family 3C",NC_000068.8,1673.3,2605.6,1351.6,3283,4190.5,2941.5,2794.5,3033.6,3095.3,2856.1,2666.4,"3047.8
"
134170.0,H3f3b,H3.3 histone B,NC_000077.7,1673.3,2605.6,1351.6,3283,4190.5,2941.5,2794.5,3033.6,3095.3,2856.1,2666.4,"3047.8
"
134140.0,Gm12657,predicted gene 12657,NC_000070.7,1673.3,2605.6,1351.6,3283,4190.5,2941.5,2794.5,3033.6,3095.3,2856.1,2666.4,"3047.8
"
134170.0,H3f3a,H3.3 histone A,NC_000067.7,1673.3,2605.6,1351.6,3283,4190.5,2941.5,2794.5,3033.6,3095.3,2856.1,2666.4,"3047.8
"
134464.0,Gm10257,"H3 histone, family 3A pseudogene","['NC_000079.7', 'NG_046705.2']",1673.3,2605.6,1351.6,3283,4190.5,2941.5,2794.5,3033.6,3095.3,2856.1,2666.4,"3047.8
"
121702.0,Acta1,"actin, alpha 1, skeletal muscle",NC_000074.7,54892.6,42203.3,34254.9,35549.1,41360.8,34289.1,30809.7,31041.8,23234.4,25978.7,32115,"32062.3
"
12725.0,Gli2,GLI-Kruppel family member GLI2,NC_000067.7,156.5,76.7,203.3,44.4,26.8,93,50.5,11.1,117.1,285.4,240.5,"128.2
"
7986.0,Tyrobp,TYRO protein tyrosine kinase binding protein,NC_000073.7,1131.4,1398.7,1375.4,1806.2,984,1233.4,3385.3,3944.2,5381,2127.4,1550.6,"1625.7
"
8785.0,Emc2,ER membrane protein complex subunit 2,NC_000081.7,134.1,122.7,160.6,161,194.8,195.3,128,101.6,106,145.6,118.2,"120.8
"
10551.0,Son,Son DNA binding protein,NC_000082.7,313.7,718.5,295.5,453,395.4,480.4,397.2,471.8,423.6,289.4,433.1,"412
"
4761.0,Ift88,intraflagellar transport 88,NC_000080.7,2543.8,2120.5,2750.1,2156.5,1501.8,2013.9,2567.3,1629.6,2149.7,2507,2355.1,"1899.7
"
40583.0,Cbx3,chromobox 3,NC_000072.7,133.8,7.9,239.8,80.2,48.7,75,81.7,131.7,126.8,127,265,"132.8
"
133547.0,Cbx3-ps5,"chromobox 3, pseudogene 5",NC_000079.7,133.8,7.9,239.8,80.2,48.7,75,81.7,131.7,126.8,127,265,"132.8
"
7724.0,Gal,galanin and GMAP prepropeptide,NC_000085.7,566.1,419.5,617.1,339.2,350.8,326.3,476.4,480.4,544,422.9,526.2,"329.8
"
9694.0,Pole3,"polymerase (DNA directed), epsilon 3 (p17 subunit)",NC_000070.7,21.5,129.1,63.4,44.4,142.8,189,191.9,176.4,134.6,281.4,222.3,"96
"
20425.0,Cdh3,cadherin 3,NC_000074.7,877.2,725,639.2,952.7,814.1,898.1,797.8,860.9,947.1,1257,1113.1,"1414
"
88843.0,Larp7,"La ribonucleoprotein domain family, member 7",NC_000069.7,59.8,120.9,80.9,68.3,241.9,231.6,125.1,167.5,179.1,190.4,160.2,"139.4
"
878.0,Aebp1,AE binding protein 1,NC_000077.7,1757.5,1615.3,2145,1201.8,1023,899,1115,1258.7,1550.7,1727.8,1512.9,"1226.6
"
87707.0,Ylpm1,YLP motif containing 1,NC_000078.7,519.2,876.8,575.2,784.7,769,700.8,748,743.3,670.9,774.3,716.5,"810.7
"
62496.0,Slc7a6,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 6",NC_000074.7,97.3,259.3,151.3,325.7,192.4,273.1,163.7,206.2,131.6,156.7,167.2,"168.9
"
40715.0,Gng2,"guanine nucleotide binding protein (G protein), gamma 2",NC_000080.7,29.8,86.4,66.4,171.9,84.6,93,155.4,87.1,159.9,164.6,161.1,"89.4
"
20680.0,Stat5a,signal transducer and activator of transcription 5A,NC_000077.7,1602.6,1297.9,987.4,1144,1116.4,1006.6,916.2,1205.4,1545,1111.9,1103.2,"1241.2
"
2390.0,Syk,spleen tyrosine kinase,NC_000079.7,886.3,1080.8,1800.5,1131.3,884.9,883.4,1460.3,1996.9,2301.6,1292.4,914.1,"1141
"
21564.0,Ptpro,"protein tyrosine phosphatase, receptor type, O",NC_000072.7,322.3,327.8,346.7,212.3,209.7,159.6,293.8,286,276.7,259.1,194.6,"197.9
"
4062.0,Lamc2,"laminin, gamma 2",NC_000067.7,763.4,1378.7,1496.9,2072.4,1261.5,2177.3,3814.7,3646.6,4755.2,5873.8,1121.8,"1327.4
"
262.0,Ppox,protoporphyrinogen oxidase,NC_000067.7,378.5,518.3,279,376.6,231.9,247.8,291.9,443.2,272.9,484,382.8,"403.2
"
1731.0,Lepr,leptin receptor,NC_000070.7,14.3,86.8,46.2,176.7,260.1,136.2,144.4,110,55.6,175.3,300.2,"217.8
"
21150.0,Mdfi,MyoD family inhibitor,NC_000083.7,24.4,253.2,460.7,139.8,42.9,236.3,63.4,209.6,357.9,178.9,383.8,"236.3
"
1072.0,Lpar1,lysophosphatidic acid receptor 1,NC_000070.7,780.8,978.6,592.3,488.9,715.7,622.3,860.9,803.7,793.5,687.5,537.9,"439.3
"
130632.0,Orm1,orosomucoid 1,NC_000070.7,1396.5,1340.4,783.4,1667.1,2699.4,1533.4,1175,1150.9,765.7,450,613.5,"1170.2
"
130632.0,Orm2,orosomucoid 2,NC_000070.7,5642.8,4978.7,3565.4,4576.4,5892.5,6517.6,3566.7,2702.8,1867.2,1878.7,1672.9,"2345.3
"
55427.0,Ank1,"ankyrin 1, erythroid",NC_000074.7,1307,907.1,1109,770.8,696.5,1038.2,614.8,488.3,501.9,557.6,514.2,"690
"
31259.0,Tbrg4,transforming growth factor beta regulated gene 4,NC_000077.7,359.3,263.9,427.7,193,223.6,319.5,215,226.1,297.6,355.1,291.5,"291.9
"
